 Function: Ackley_Function
 Number of Particles: 100
 Number of Design Variables: 3
 Domain:(-32.768, 32.768)
Run:0/10 Global_Best:0.005028850842201837 Global_Best_Position:[-0.0006358373449282511, 0.0008265199155299326, 0.0018713457440547752]
Run:1/10 Global_Best:1.2771464565908275e-06 Global_Best_Position:[-2.8157192550075285e-07, 3.792619046206657e-07, 2.8758804341660674e-07]
Run:2/10 Global_Best:1.264091498143216e-09 Global_Best_Position:[-3.4007358795028254e-10, 1.7469089462714043e-10, -3.917201377895759e-10]
Run:3/10 Global_Best:6.366907001620348e-12 Global_Best_Position:[-2.3460505614271488e-12, 1.4360796198105595e-12, -1.7426786376633092e-13]
Run:4/10 Global_Best:3.9968028886505635e-15 Global_Best_Position:[-2.0024182417609437e-15, 1.1254300515815232e-15, 5.250052411014805e-16]
Run:5/10 Global_Best:4.440892098500626e-16 Global_Best_Position:[1.5152242958615736e-16, 3.502703982886276e-16, 1.3109897050833673e-16]
Run:6/10 Global_Best:4.440892098500626e-16 Global_Best_Position:[6.8851602240075e-17, -9.324363190235212e-17, 1.1041785300455516e-16]
Run:7/10 Global_Best:4.440892098500626e-16 Global_Best_Position:[6.8851602240075e-17, -9.324363190235212e-17, 1.1041785300455516e-16]
Run:8/10 Global_Best:4.440892098500626e-16 Global_Best_Position:[6.8851602240075e-17, -9.324363190235212e-17, 1.1041785300455516e-16]
Run:9/10 Global_Best:4.440892098500626e-16 Global_Best_Position:[6.8851602240075e-17, -9.324363190235212e-17, 1.1041785300455516e-16]
Run:10/10 Global_Best:4.440892098500626e-16 Global_Best_Position:[6.8851602240075e-17, -9.324363190235212e-17, 1.1041785300455516e-16]
