 Function: pso_dejong_Function
 Number of Particles: 100
 Number of Design Variables: 3
 Domain:(-5.12, 5.12)
Run:0/10 Global_Best:1.1116283213791378e-08 Global_Best_Position:[1.298978840427777e-05, -1.9224379065617414e-05, -0.00010284926767140795]
Run:1/10 Global_Best:2.481418266292998e-14 Global_Best_Position:[-1.0758732551676777e-07, 1.150486898556573e-07, -1.7172692205377708e-09]
Run:2/10 Global_Best:2.587973012032554e-20 Global_Best_Position:[6.370682401998888e-12, -7.404821463746253e-11, -1.426744771676514e-10]
Run:3/10 Global_Best:4.9240676676472015e-26 Global_Best_Position:[1.033751744986113e-13, 3.8662348408639e-14, 1.9250837069951708e-13]
Run:4/10 Global_Best:1.563873636206592e-31 Global_Best_Position:[5.61230568770362e-17, 2.897441377311602e-16, -2.63222150963521e-16]
Run:5/10 Global_Best:4.676055800563216e-37 Global_Best_Position:[1.2994017292272937e-19, -4.971005973542006e-19, -4.512340053976759e-19]
Run:6/10 Global_Best:5.562495182307997e-42 Global_Best_Position:[-2.001363482947342e-21, 1.2168064942601132e-21, -2.764441118188183e-22]
Run:7/10 Global_Best:3.317644815092954e-48 Global_Best_Position:[7.528770852893653e-25, 1.6172170928235893e-24, -3.6800785890842315e-25]
Run:8/10 Global_Best:7.351632441495242e-55 Global_Best_Position:[6.806786249541084e-29, 7.342607752800197e-28, -4.374827129499112e-28]
Run:9/10 Global_Best:1.057703654038833e-59 Global_Best_Position:[1.4789408947523464e-30, 2.659943614808863e-32, -2.8963878953299855e-30]
Run:10/10 Global_Best:3.5788530086253087e-65 Global_Best_Position:[-3.052058013126389e-33, 4.565357663816467e-33, -2.372968894064215e-33]
