 Function: Rastrigin_function_Function
 Number of Particles: 100
 Number of Design Variables: 3
 Domain:(-5.12, 5.12)
Run:0/10 Global_Best:0.007474015727346739 Global_Best_Position:[0.003483618363703367, 0.0038629624599273438, 0.003258290439602844]
Run:1/10 Global_Best:2.0535061651116848e-08 Global_Best_Position:[-7.797354616597907e-06, 3.3543149405345707e-06, 5.608680651285159e-06]
Run:2/10 Global_Best:4.973799150320701e-14 Global_Best_Position:[8.21352938063838e-09, 6.163474056767671e-10, -1.3755952553121801e-08]
Run:3/10 Global_Best:0.0 Global_Best_Position:[5.178658817211388e-10, -4.942621891813629e-10, 8.098968461339825e-10]
Run:4/10 Global_Best:0.0 Global_Best_Position:[5.178658817211388e-10, -4.942621891813629e-10, 8.098968461339825e-10]
Run:5/10 Global_Best:0.0 Global_Best_Position:[5.178658817211388e-10, -4.942621891813629e-10, 8.098968461339825e-10]
Run:6/10 Global_Best:0.0 Global_Best_Position:[5.178658817211388e-10, -4.942621891813629e-10, 8.098968461339825e-10]
Run:7/10 Global_Best:0.0 Global_Best_Position:[5.178658817211388e-10, -4.942621891813629e-10, 8.098968461339825e-10]
Run:8/10 Global_Best:0.0 Global_Best_Position:[5.178658817211388e-10, -4.942621891813629e-10, 8.098968461339825e-10]
Run:9/10 Global_Best:0.0 Global_Best_Position:[5.178658817211388e-10, -4.942621891813629e-10, 8.098968461339825e-10]
