 Function: Schwefel_Function
 Number of Particles: 100
 Number of Design Variables: 2
 Domain:(-500, 500)
Run:0/10 Global_Best:-837.9648060082079 Global_Best_Position:[421.05628319565574, 420.9651874445524]
Run:1/10 Global_Best:-837.9657745447378 Global_Best_Position:[420.96873988794823, 420.9687777350301]
Run:2/10 Global_Best:-837.9657745448675 Global_Best_Position:[420.96874599796126, 420.96874663378384]
Run:3/10 Global_Best:-837.9657745448676 Global_Best_Position:[420.9687460501275, 420.9687464690474]
Run:4/10 Global_Best:-837.9657745448676 Global_Best_Position:[420.9687460501275, 420.9687464690474]
Run:5/10 Global_Best:-837.9657745448676 Global_Best_Position:[420.9687460501275, 420.9687464690474]
Run:6/10 Global_Best:-837.9657745448676 Global_Best_Position:[420.9687460501275, 420.9687464690474]
Run:7/10 Global_Best:-837.9657745448676 Global_Best_Position:[420.9687460501275, 420.9687464690474]
Run:8/10 Global_Best:-837.9657745448676 Global_Best_Position:[420.9687460501275, 420.9687464690474]
Run:9/10 Global_Best:-837.9657745448676 Global_Best_Position:[420.9687460501275, 420.9687464690474]
Run:10/10 Global_Best:-837.9657745448676 Global_Best_Position:[420.9687460501275, 420.9687464690474]
